Country, Number of programmers
Germany,3890
United Kingdom,3896
Russian Federation,1092
Albania,54
United States,12469
India,8403
Tunisia,125
Spain,1161
Netherlands,1343
France,1898
Belgium,459
Portugal,388
Canada,2191
China,371
Ukraine,539
Italy,1117
Brazil,1818
Austria,539
Mexico,540
Sweden,886
Poland,1278
Indonesia,499
Greece,390
Israel,653
Czech Republic,500
Bosnia and Herzegovina,96
Bulgaria,323
Serbia,306
Switzerland,629
Hungary,371
Nepal,242
Slovenia,157
Uruguay,100
Denmark,397
Pakistan,809
Taiwan,158
Romania,604
Finland,349
Costa Rica,76
Nigeria,593
Chile,181
Turkey,777
Panama,24
Ireland,444
Estonia,145
Philippines,405
Australia,1208
Nomadic,31
Peru,101
Cyprus,50
Sri Lanka,295
Kenya,271
Norway,384
Kyrgyzstan,16
Iran,491
Croatia,185
Egypt,281
Argentina,395
Ghana,105
Latvia,111
Morocco,176
Bangladesh,609
Ecuador,49
Haiti,5
Venezuela, Bolivarian Republic of...,70
Colombia,285
Lithuania,171
El Salvador,26
Honduras,21
Ethiopia,59
Lebanon,71
Uganda,81
Algeria,94
Viet Nam,364
Guatemala,49
Syrian Arab Republic,13
Afghanistan,84
Slovakia,188
United Arab Emirates,115
Belarus,129
Sudan,34
South Africa,494
Jordan,57
Georgia,67
United Republic of Tanzania,31
Antigua and Barbuda,2
Saudi Arabia,90
New Zealand,353
Kuwait,18
Armenia,64
Republic of Moldova,50
Cuba,22
Luxembourg,42
Singapore,228
Azerbaijan,50
Dominican Republic,72
Iceland,53
Isle of Man,8
Uzbekistan,41
Trinidad and Tobago,7
Senegal,26
Andorra,13
Turkmenistan,4
Hong Kong (S.A.R.),111
Benin,9
Bolivia,40
Republic of Korea,88
Japan,297
Malta,47
Iraq,44
South Korea,201
Paraguay,26
Malaysia,231
Thailand,148
Myanmar,51
Kazakhstan,61
Cambodia,31
Jamaica,14
Nicaragua,35
Maldives,10
Democratic Republic of the Congo,7
Papua New Guinea,2
Oman,11
The former Yugoslav Republic of Macedonia,38
Malawi,8
Qatar,20
Madagascar,21
Botswana,8
Angola,9
Montenegro,13
Yemen,7
Mongolia,12
Kosovo,34
Zambia,21
Zimbabwe,31
Libyan Arab Jamahiriya,8
Mozambique,7
Somalia,18
Eritrea,3
Namibia,8
Rwanda,31
Burkina Faso,6
Congo, Republic of the...,8
Swaziland,7
Bhutan,7
Cameroon,50
Bahrain,9
Côte d'Ivoire,17
Sierra Leone,6
Togo,10
Niger,5
Barbados,5
Belize,4
Saint Vincent and the Grenadines,3
Lao People's Democratic Republic,7
Tajikistan,4
Mauritius,18
Guinea,5
Brunei Darussalam,3
Bahamas,3
Mauritania,4
Saint Lucia,1
Djibouti,2
San Marino,2
Lesotho,1
Nauru,1
nan,0
Burundi,2
Fiji,1
Kiribati,1
Grenada,1
Chad,1
Mali,1
Guyana,5
Micronesia, Federated States of...,1
Gambia,4
North Korea,1
Liechtenstein,1
Monaco,2
Timor-Leste,2
Solomon Islands,2
Cape Verde,2
Gabon,1
Marshall Islands,1

[Program finished]
